MPS,TRT,GD,FFD
3393.726334921433,3272.11412672295,2271.848638942756,2042.9081225963582
3541.7016975308643,2037.391503267974,1254.2709150326798,1211.8111111111111
3393.698266420982,4614.541475191476,3705.40070501394,3282.506022572199
,,,
3361.964107650482,3248.623580586081,2384.391664871077,2072.423616497881
3344.495226586961,3712.044428528987,2817.1092490026317,2514.2534769968593
3394.335443422632,2514.9268465194937,1692.4125205676678,1505.196494355318
,,,
3306.176236277339,4178.466941391941,2975.676093677564,2699.0707015207013
3300.477821365397,4950.202656657068,3977.798815400287,3241.9681377446086
3440.3958718732247,2662.004135896783,1690.5910576351753,1501.815466641202
3390.5897506428755,2989.1677572427575,2182.536735486736,1983.6253718503722
3472.1694161293713,2420.988680600445,1725.2351361057245,1587.4719385189974
,,,
3484.979247881747,1974.7454545454545,1590.5715548340547,1381.4742243867245
3397.850468424549,2051.451093514329,1454.9464177978884,1318.1248276233573
3396.3495367856135,2917.257005984212,2451.31817863509,2267.1971097529918
3272.086292756063,3781.9301610970733,2880.04251100207,2622.930461940021
3378.089399799434,3518.95872550652,2961.156641969142,2604.8401850600376
3356.95946205755,3004.338999725764,1669.990086384204,1338.3217365967366
3423.788812277048,2241.1444444444446,1731.0797852474323,1510.8048085901028
3299.3096526599124,2740.6172879408173,2021.1294868530165,1816.5391399450223
3323.3973003407523,2836.8296148296145,2311.742007992008,2140.7008602508604
3398.386929563492,2032.6512210012206,1415.9408577533577,1338.0444444444445
3427.816832222335,2202.8585607203254,1394.741923762512,1284.4593822843822
3501.1684592053075,2050.0916305916307,1429.010085094644,1308.0637997623292
3485.4982010582007,1369.9825396825397,769.2960317460316,682.9722222222222
3358.5615272922764,2341.280303030303,1464.2017528223414,1317.8762626262626
3276.50027138448,2875.7621031746035,2066.0738095238094,1765.963888888889
3365.804781702351,2029.3510531135532,1285.2344322344322,1090.2709706959708
3387.7518931009286,2544.973957659987,1553.1328781512605,1454.2941014867483
3278.595724207407,2970.8226871168044,2237.221296677179,2035.2745186186366
3374.03138922481,2965.092046842047,2221.854129204129,2081.1138805638807
3329.113636544284,4096.3257411705945,3306.6536401506987,2820.0002400377393
3327.947917227775,2963.6173465423462,1813.8417871344343,1568.031146467911
3281.9368887478267,3091.046260683762,2579.512744200244,2357.424923687423
3332.3814061071203,2605.1589694619106,1736.5468681645152,1445.6589338765812
3422.9090338958545,3285.169651182151,2673.56317016317,2469.7667055167058
3281.526545696331,3873.624751718868,2613.720078940667,2377.3754944402003
3392.7485444548192,1905.0474789915968,1156.6253501400558,1048.0231092436975
3534.2209635416666,1576.7958333333333,1255.5333333333333,1151.1583333333333
3439.9658282757546,1594.557329598506,1096.0387021475256,914.5615779645191
3358.516139343874,2961.5891497391494,2148.271084471084,1961.3616827616825
3257.1076416838273,4793.73838106338,3507.9875610500617,3220.378724053725
,,,
3392.653242275887,4284.65133061383,3479.9561036186033,3084.2830253080247
3396.6011261616472,4860.1940767565775,3662.770496170496,3331.6682567432567
3445.3149126777107,3387.8466769341767,2628.0536865911863,2343.3912573537573
3439.513585812336,3331.387198912198,2748.706804306804,2549.779514929515
3463.039300270297,3497.164422587217,2286.499258339699,1949.214432136491
3399.0404582804963,5894.640555767763,4185.488406120025,3643.1045475766064
,,,
3483.18143327261,3209.49092990343,1897.9062562437564,1768.998976023976
,,,
,,,
3411.3669032356534,2172.320687645687,1729.8019230769232,1525.9872086247087
,,,
3357.981959530369,2202.9835497835497,1576.89908008658,1397.3934523809523
3408.9569313165466,1907.1637487512487,1557.2009074259074,1455.5804903429903
3449.054596800877,4375.673227671022,2746.720508331538,2494.586663255046
3486.2066264889795,2228.939715431627,1610.8335243188183,1425.058279220779
3338.423794849422,3382.3669150294145,2743.679705017205,2206.405933200786
3304.788551307317,3956.466277839807,3024.3829817241585,2793.0732350982357
3348.9802198176276,3985.170574441898,3328.2607537886943,3072.954485057426
